"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 29 21:35:17 IST 2022","Sun May 29 21:35:39 IST 2022","21599","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Tue Jun 07 16:13:52 IST 2022","Tue Jun 07 16:13:52 IST 2022","2","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","",""
"passed","Mon May 23 12:50:46 IST 2022","Mon May 23 12:50:48 IST 2022","2051","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When set the value of All mandantory fields","When set the value of All mandantory fields",""
"passed","Mon May 30 01:35:28 IST 2022","Mon May 30 01:35:28 IST 2022","1","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","","",""
"passed","Sun May 29 21:35:11 IST 2022","Sun May 29 21:35:14 IST 2022","2998","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","Given I am on the home page","Given I am on the home page",""
"skipped","Tue Jun 07 14:55:59 IST 2022","Tue Jun 07 14:55:59 IST 2022","1","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 23 18:57:18 IST 2022","Mon May 23 18:57:26 IST 2022","7241","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When Navigate to the Register page","When Navigate to the Register page",""
"passed","Wed May 25 19:24:06 IST 2022","Wed May 25 19:24:06 IST 2022","18","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 11:34:07 IST 2022","Mon May 30 11:34:11 IST 2022","4234","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Mon May 30 00:47:27 IST 2022","Mon May 30 00:47:27 IST 2022","1","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","","",""
"passed","Sun May 29 23:06:55 IST 2022","Sun May 29 23:06:55 IST 2022","3","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","",""
"passed","Mon May 30 11:31:58 IST 2022","Mon May 30 11:31:59 IST 2022","1131","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Tue Jun 07 14:55:59 IST 2022","Tue Jun 07 14:55:59 IST 2022","10","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","",""
"passed","Mon May 30 12:18:58 IST 2022","Mon May 30 12:19:00 IST 2022","1749","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
